test	name	text	postcode
KSPTQ	Wallsend Jobcentre	Hadrian House, Station Road, Wallsend, Tyne and Wear	NE28 6HP
1CP7CW	Erdington Jobcentre	Sutton New Road, Erdington, Birmingham, West Midlands	B23 6TD
MYTPK	Wellingborough Jobcentre	Lothersdale House, West Villa Road, Wellingborough, Northamptonshire	NN8 4NE
26VSCQ	Barton on Humber Jobcentre	Kings Street, Barton on Humber, Northamptonshire	DN18 5ER
2FPFRD	Abingdon Jobcentre	Torus House, Stert Street, Abingdon, Oxfordshire	OX14 3QS
F22TH	North Walsham Jobcentre	GPO Buildings, Kings Arms Street, North Walsham, Norfolk	NR28 9JX
2QNAMN	Rhyl Jobcentre	High Street, Rhyl, Denbighshire	LL18 1UU
2338XG	Llandudno Jobcentre	Chapel Street, Llandudno, Conwy	LL30 2SS
5EV98	Hove Jobcentre	Boundary House, Boundary Road, Hove, East Sussex	BN3 7GA
EGF1S	Chelmsford Jobcentre	The Gemini Centre, New London Road, Chelmsford, Essex	CM2 0PD
15NEQH	Winton Jobcentre	Wimborne Road, Winton, Bournemouth, Dorset	BH9 2AL
3CXJ8	Farnborough Jobcentre	Princeton House, Victoria Road, Farnborough, Hampshire	GU14 7NT
1FYPY3	High Riggs Jobcentre	High Riggs, Edinburgh	EH3 9HU
2NZEB3	Whitchurch Jobcentre	Green End Parade, Whitchurch, Shropshire	SY13 1AG
2N6J0R	Wells Jobcentre	Chamberlain Street, Wells, Somerset	BA5 2PJ
1J6JQQ	Helensburgh Jobcentre	Charlotte Street, Helensburgh	G84 7PH
1EWT96	Brixton Road Jobcentre	Brixton Road, Brixton, London	SW9 7AY
18K2VN	Arnold Jobcentre	Civic Centre, Arnot Hill Park, Arnold, Arnold, Nottinghamshire	NG5 6LT
19VRMP	Nottingham Loxley House Jobcentre	Loxley House, Nottingham, Nottinghamshire	NG2 3QD
ZFQMJ	Dunstable Watling House Jobcentre	Watling House, High Street, North Dunstable, Bedfordshire	LU6 1LF
