test	name	text	postcode
2R0NVT	Fleetwood Jobcentre	Roskell House, 11 - 27 Kemp Street, Fleetwood, Lancashire, Cumbria and Lancashire	FY7 6JX
1GSEZX	Pyle Jobcentre	Ffald Road Shopping Centre, Pyle, Mid Glamorgan, South West Wales	CF33 6BH
HF1SJ	Drumchapel Jobcentre	67 Kinfauns Drive, Drumchapel, Glasgow, Lanarkshire, Glasgow, Lanarkshire and East Dunbartonshire	G15 7TG
GTMCP	Skegness Jobcentre	1A Wainfleet Road, Skegness, Lincolnshire, Nottinghamshire, Lincolnshire and Rutland	PE25 3PA
1XJG5M	Folkestone Jobcentre	Palting House, Trinity Road, Folkstone, Kent, Kent	CT20 2RH
2QQVG6	Birmingham South West /Northfield Jobcentre	1300 Bristol Road South, Northfield, Birmingham, West Midlands, Birmingham and Solihull	B31 2TQ
2439Y7	Stratford Jobcentre	1 Tramway Avenue, Stratford, London, East London	E15 4PN
282ZAR	Longsight Jobcentre	123 Clarence Road, Longsight, Manchester, Greater Manchester, Greater Manchester Central & Cheshire Community	M13 0ZL
1FQ4MQ	Leytonstone Jobcentre	Robart House, 1-3 Lemna Road, Leytonstone, London, East London	E11 1JJ
AG87Z	Openshaw Jobcentre	Cornwall Street, Openshaw, Manchester, Greater Manchester, Greater Manchester Central & Cheshire Community	M11 2WR
E5YME	Buxton Jobcentre	84-86 Spring Gardens, Buxton, Derbyshire, Derbyshire	SK17 6BU
VAWW7	Swindon Jobcentre	Spring Gardens House, Princes Street, Swindon, Wiltshire, Wessex	SN1 2HY
22VWKP	Bridgend Jobcentre	Government Buildings, Market Street, Bridgend, Mid Glamorgan, South West Wales	CF31 1LL
1FZWJE	Rugby Jobcentre	Kingsforth House, 44 Albert Street, Rugby, Warwickshire, Mercia	CV21 2TD
1WQ5KF	Guiseley Jobcentre	Alva House, Otley Road, Guiseley, Leeds, West Yorkshire, West Yorkshire	LS20 8AF
2BQ50Q	Cwmbran Jobcentre	Gwent House, 1st Floor, 42 Gwent Square, Cwmbran, Gwent, South East Wales	NP44 1PL
FCB7	Alfreton Jobcentre	Tannery House, King Street, Alfreton, Derbyshire, Derbyshire	DE55 7AF
